0006098	MESARSKI PAPIR S FOLIJOM	14,494.120,0737	KG	59.699,867	116.762,79	78,
0011403	ŠKRNICLI PAPIRNATI	12,9912,5	KG	162,375	317,57788	1,
0014466	FANTA 2L	12,991.546,0	KOM	20.082,54	39.278,03	76,
0014481	COCA COLA 2L	13,993.482,0	KOM	48.713,18	95.274,695	79,
0014631	PIVO KARLOVAČKO 0.5 L.1#/20-AMBA	6,995.524,0	KOM	38.612,758	75.519,99	76,
0014896	PIVO OŽUJSKO 0.5 L.B-AMBAL 1#/20	6,8922.220,35	KOM	153.098,2	299.434,06	79,
0015131	ŠEĆER 1/1	4,8919.135,0	KG	93.570,15	183.007,3	80,
0015166	ULJE SUNCOKRET 1L PVC ČEP ZVIJEZDA	12,883.452,0	KOM	44.461,76	86.959,65	80,
0016022	FANTA 0.5L PVC	6,991.205,0	KOM	8.422,95	16.473,86	72,
0016048	VODA JAMNICA 1/1 L.B.1#/12-AMBAL	3,8834.495,25	KOM	133.841,58	261.771,38	80,
0016049	VODA JAMNICA 1.5 L.	5,998.920,0	KOM	53.430,797	104.501,555	80,
0016794	VODA STUDENAC 1.5L PET	5,691.465,0	KOM	8.335,85	16.303,505	71,
0017024	MARGARIN STOLNI 250G ZVIJEZDA	6,492.719,77	KOM	17.651,307	34.522,953	77,
0017195	GAJBA VODA 6/1 DEP.NOVO	28,08.898,0	KOM	249.144,0	487.283,3	78,
0017203	BOCA VODA 1/1 DEP. NOVO	2,049.786,0	KOM	99.572,0	194.745,9	79,
0017205	BOCA STUDENAC 1/1	2,136.176,0	KOM	13.154,881	25.728,71	73,
0017206	BOCA RADENSKA 1/1	2,06.207,0	KOM	12.414,0	24.279,674	79,
0017208	BOCA DONAT 1/1 DEP	2,01.828,0	KOM	3.656,0	7.150,514	67,
0018119	SOL 1/1	3,392.826,038	KOM	9.580,27	18.737,379	78,
0018201	ŠEĆER 50/1	4,6950,0	KG	234,5	458,64212	1,
0018206	VODA DONAT MG 1/1 L.-AMB 1#/12	8,981.198,0	KOM	10.758,039	21.040,895	71,
0020545	VODA RADENSKA 1/1 L. B 1#/12-AMB	2,993.824,0	KOM	11.433,76	22.362,49	75,
0020563	VANILI ŠEĆER 10G PODRAVKA	0,992.163,0	KOM	2.141,37	4.188,156	75,
0020705	VEGETA 250G PODRAVKA	14,992.030,14	KOM	30.431,799	59.519,426	79,
0021060	PAŠTETA JETRENA 50G ALU.PODRAVKA	4,491.241,0	KOM	5.572,09	10.898,061	61,
0022105	ULJE BILJNO 1/1 ZVIJEZDA PVC	12,882.097,0	KOM	27.009,36	52.825,715	79,
0022178	MAJONEZA 90 GR FOLIJA ZVJEZDA	5,992.498,0	KOM	14.963,02	29.265,123	78,
0022503	ŽVAKAČA ORBIT SPERMINT DRAŽE 14G	4,694.595,26	KOM	21.551,77	42.151,598	78,
0027060	CIGARETE RONHILL SHELL WHITE	24,02.162,0	KOM	51.888,0	101.484,11	77,
0027755	ČOKOLADA ŽIVOT.CARSTVO 15 GR.KR.	3,594.474,0	KOM	16.061,659	31.413,875	71,
